key,en,
TJ_INT_1,"Hm. Is there really no tailor in Gensokyo that could make my daughter a suit?",
TJ_INT_2,"Seems to be for some important event too... She was lamenting about it being torn.",
TJ_INT_3,"Hecatia's wardrobe isn't exactly helping either.",
TJ_INT_4,"Well then, there is one person left that I could ask...",
TJ_EIR_1,"My? What business do you seek here?",
TJ_EIR_2,"Do you not hate us Lunarians? I heard of the stories.",
TJ_EIR_3,"That is for later. I just need something from you.",
TJ_EIR_4,"""Help me, Eirin,"" you say? I get asked for help a lot, you know.",
TJ_EIR_5,"What are you in need of? All my medicine are tailor-made, for your information.",
TJ_EIR_6,"I'm a spirit. Do you think I look sick?",
TJ_EIR_7,"In the head, sure.",
TJ_EIR_8,"Okay, now.",
TJ_EIRP_1,"Look, all I wanted to know is if you know any place to tailor a suit.",
TJ_EIRP_2,"Eh? For whom?",
TJ_EIRP_3,"For Reisen.",
TJ_EIRP_4,"Ah, so you are the one who she has been staying with recently",
TJ_EIRP_5,"Surprising, coming from you.",
TJ_EIRP_6,"Yet my care for her are more tailored to her than you ever did.",
TJ_EIRP_7,"Wow, okay.",
TJ_EIRP_8,"Well, anyways, the suit is made in the Lunar Capital. Gensokyo does not really have this type of fashion.",
TJ_EIRP_9,"I was afraid that it had to come to that. Oh well.",
TJ_GEN_1,"That's the person I was talking about.",
TJ_GEN_2,"Eh? Visitors? What are you doing here~?",
TJ_GEN_3,"What are *you* doing here? Is this not Doremy's place?",
TJ_GEN_4,"She went on vacation.",
TJ_GEN_5,"Look, I just need to get to the Lunar Capital.",
TJ_GEN_6,"(Also, is this not her place?)",
TJ_GEN_7,"Since you come to our place, you must play with us first~",
TJ_GEN_8,"Yea- wait what.",
TJ_GEN_9,"That's a whole vengeful spirit that is NOT a human we're dealing with.",
TJ_GEN_10,"Whatever, lets just get this over with.",
TJ_GENP_1,"Wahh... what was that for? I just said playing not actual fighting...",
TJ_GENP_2,"That danmaku is made for killing a person!",
TJ_GENP_3,"Yes, that is what I call it.",
